story_name,clause_num,total_bits,wording_bits,semantic_bits
Williams,27,19.921589724775334,12.639783751154281,7.281805973621053
Williams,28,59.42807942668615,26.854180112112882,32.573899314573275
Laidlaw,1,69.74810613951409,38.60882281607373,31.139283323440353
Laidlaw,2,17.51521948079257,6.6132915325384705,10.901927948254102
Laidlaw,3,16.517731112677936,9.08165256463248,7.436078548045457
Laidlaw,4,37.96936656185953,18.663458213231834,19.3059083486277
Laidlaw,5,82.01992131684548,36.34666966756447,45.673251649281006
Laidlaw,6,43.42737494175919,13.997065330572951,29.43030961118624
Laidlaw,7,96.2315631942924,33.34222422160064,62.88933897269177
Laidlaw,8,14.143765155446879,13.391334174513391,0.7524309809334865
Laidlaw,9,49.325218634490554,26.185522559490956,23.139696074999595
Laidlaw,10,52.55058953074662,24.046173972366816,28.504415558379804
Laidlaw,11,57.666679898646954,36.15307565120045,21.5136042474465
Laidlaw,12,23.86082344970262,5.807983456050195,18.052839993652427
Laidlaw,13,32.91077618114491,8.963262470001052,23.947513711143863
Laidlaw,14,10.023908367609833,7.650404674539962,2.373503693069872
Laidlaw,15,45.32284939920217,35.33352465376135,9.98932474544082
Laidlaw,16,24.745601267747805,6.458490643190092,18.287110624557712
Laidlaw,17,21.78589266106672,8.694881476876732,13.091011184189986
Laidlaw,18,73.39711020522601,22.089858942556596,51.30725126266942
Laidlaw,19,26.251695989444098,19.128037004044863,7.123658985399237
Laidlaw,20,12.82646059790344,1.1769006656580496,11.64955993224539
Laidlaw,21,9.864990902042111,3.007610584689824,6.857380317352286
Laidlaw,22,20.74437674028232,3.6729550539949485,17.071421686287373
Laidlaw,23,106.72244987311535,25.313314618009304,81.40913525510604
Laidlaw,24,14.021016318855972,0.821246043358565,13.199770275497405
Laidlaw,25,6.379417133930885,7.053567096746161,-0.6741499628152753
Laidlaw,26,33.560094606758966,9.856581645734826,23.703512961024142
Laidlaw,27,23.88583109957288,4.908940720427171,18.97689037914571
Laidlaw,28,33.976595318435784,6.660665182638977,27.315930135796805
Laidlaw,29,35.38265943776565,31.881235737189687,3.501423700575963
DAlmaggio,1,41.20697710539102,20.262539145948896,20.94443795944212
DAlmaggio,2,35.80814175706435,16.30358106754598,19.504560689518367
DAlmaggio,3,36.85634987271024,27.614084767015314,9.242265105694921
